epoch,step,train_loss,val_loss
0,49,2.307370662689209,
0,99,2.3117759227752686,
0,149,2.291166067123413,
0,199,2.3101816177368164,
0,249,2.303246021270752,
0,299,2.3003504276275635,
0,349,2.3158795833587646,
0,399,2.298187017440796,
0,449,2.302870273590088,
0,499,2.2925546169281006,
0,549,2.3041276931762695,
0,599,2.29744291305542,
0,649,2.278043508529663,
0,699,2.312460422515869,
0,749,2.310734272003174,
0,799,2.3017051219940186,
0,849,2.317664623260498,
0,899,2.300042152404785,
0,937,,2.307404041290283
1,949,2.3047845363616943,
1,999,2.3007583618164062,
1,1049,2.3033294677734375,
1,1099,2.311445951461792,
1,1149,2.309173583984375,
1,1199,2.2942140102386475,
1,1249,2.30953311920166,
1,1299,2.3020737171173096,
1,1349,2.3101539611816406,
1,1399,2.2967755794525146,
1,1449,2.307387351989746,
1,1499,2.3082778453826904,
1,1549,2.2967100143432617,
1,1599,2.3065807819366455,
1,1649,2.3051822185516357,
1,1699,2.3001348972320557,
1,1749,2.3125109672546387,
1,1799,2.3009238243103027,
1,1849,2.3037657737731934,
1,1875,,2.305294990539551
2,1899,2.3067915439605713,
2,1949,2.314131498336792,
2,1999,2.3103973865509033,
2,2049,2.313987970352173,
2,2099,2.294891357421875,
2,2149,2.302623987197876,
2,2199,2.3159735202789307,
2,2249,2.308521270751953,
2,2299,2.2934038639068604,
2,2349,2.29836106300354,
2,2399,2.29896879196167,
2,2449,2.304671287536621,
2,2499,2.2893106937408447,
2,2549,2.2877237796783447,
2,2599,2.297376871109009,
2,2649,2.3025002479553223,
2,2699,2.3150668144226074,
2,2749,2.307281732559204,
2,2799,2.31516432762146,
2,2813,,2.304649591445923
3,2849,2.304990768432617,
3,2899,2.3075408935546875,
3,2949,2.295274257659912,
3,2999,2.3095309734344482,
